Lesioned: false
Trials: 30

Discount Rate	PhaseOne-Phase_CueStageFoodCupBehavior	Std Dev	PhaseOne-Phase_FoodConsumed	Std Dev	PhaseTwo-Phase_CueStageFoodCupBehavior	Std Dev	PhaseTwo-Phase_FoodConsumed	Std Dev	PhaseThree-Phase_CueStageFoodCupBehavior	Std Dev	PhaseThree-Phase_FoodConsumed	Std Dev
0.5	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0060	0.024	0.0	0.0
0.52	0.356	0.028	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.54	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.56	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.58	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.6	0.359	0.037	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.62	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0030	0.017	0.0	0.0
0.64	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.66	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.68	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.7	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.72	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.74	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.76	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.78	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.8	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.82	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.84	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.86	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.88	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.9	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.92	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.94	0.354	0.026	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.96	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
0.98	0.349	0.0	0.5	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
